raceId,year,round,circuitId,name,resultId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,statusId
337,2010,1,3,Bahrain Grand Prix,20323.0,4.0,6.0,8,3.0,1,1,1.0,25.0,49.0,1:39:20.396,5960396,45,1,1:58.287,1.0
337,2010,1,3,Bahrain Grand Prix,20324.0,13.0,6.0,7,2.0,2,2,2.0,18.0,49.0,+16.099,5976495,38,5,1:59.732,1.0
337,2010,1,3,Bahrain Grand Prix,20325.0,1.0,1.0,2,4.0,3,3,3.0,15.0,49.0,+23.182,5983578,42,4,1:59.560,1.0
337,2010,1,3,Bahrain Grand Prix,20326.0,20.0,9.0,5,1.0,4,4,4.0,12.0,49.0,+38.799,5999195,32,12,2:00.218,1.0
337,2010,1,3,Bahrain Grand Prix,20327.0,3.0,131.0,4,5.0,5,5,5.0,10.0,49.0,+40.213,6000609,45,13,2:00.236,1.0
337,2010,1,3,Bahrain Grand Prix,20328.0,30.0,131.0,3,7.0,6,6,6.0,8.0,49.0,+44.163,6004559,45,11,2:00.204,1.0
337,2010,1,3,Bahrain Grand Prix,20329.0,18.0,1.0,1,8.0,7,7,7.0,6.0,49.0,+45.280,6005676,45,9,1:59.970,1.0
337,2010,1,3,Bahrain Grand Prix,20330.0,17.0,9.0,6,6.0,8,8,8.0,4.0,49.0,+46.360,6006756,45,3,1:59.487,1.0
337,2010,1,3,Bahrain Grand Prix,20331.0,24.0,10.0,15,12.0,9,9,9.0,2.0,49.0,+53.008,6013404,39,7,1:59.906,1.0
337,2010,1,3,Bahrain Grand Prix,20332.0,22.0,3.0,9,11.0,10,10,10.0,1.0,49.0,+1:02.489,6022885,47,6,1:59.833,1.0
337,2010,1,3,Bahrain Grand Prix,20333.0,9.0,4.0,11,9.0,11,11,11.0,0.0,49.0,+1:09.093,6029489,33,14,2:00.474,1.0
337,2010,1,3,Bahrain Grand Prix,20334.0,16.0,10.0,14,10.0,12,12,12.0,0.0,49.0,+1:22.958,6043354,49,2,1:59.393,1.0
337,2010,1,3,Bahrain Grand Prix,20335.0,153.0,5.0,17,18.0,13,13,13.0,0.0,49.0,+1:32.656,6053052,28,8,1:59.964,1.0
337,2010,1,3,Bahrain Grand Prix,20336.0,807.0,3.0,10,13.0,14,14,14.0,0.0,48.0,\N,\N,34,15,2:01.401,11.0
337,2010,1,3,Bahrain Grand Prix,20337.0,5.0,205.0,19,21.0,15,15,15.0,0.0,47.0,\N,\N,47,17,2:02.701,12.0
337,2010,1,3,Bahrain Grand Prix,20338.0,67.0,5.0,16,15.0,16,16,16.0,0.0,46.0,\N,\N,41,10,2:00.080,10.0
337,2010,1,3,Bahrain Grand Prix,20339.0,15.0,205.0,18,20.0,17,17,17.0,0.0,46.0,\N,\N,34,18,2:02.930,9.0
337,2010,1,3,Bahrain Grand Prix,20340.0,37.0,15.0,22,14.0,\N,R,18.0,0.0,28.0,\N,\N,27,16,2:01.650,9.0
337,2010,1,3,Bahrain Grand Prix,20341.0,811.0,164.0,21,23.0,\N,R,19.0,0.0,17.0,\N,\N,14,22,2:09.127,25.0
337,2010,1,3,Bahrain Grand Prix,20342.0,10.0,166.0,24,19.0,\N,R,20.0,0.0,16.0,\N,\N,11,21,2:07.062,6.0
337,2010,1,3,Bahrain Grand Prix,20343.0,808.0,4.0,12,17.0,\N,R,21.0,0.0,13.0,\N,\N,7,19,2:04.307,22.0
337,2010,1,3,Bahrain Grand Prix,20344.0,155.0,15.0,23,16.0,\N,R,22.0,0.0,11.0,\N,\N,4,20,2:05.044,9.0
337,2010,1,3,Bahrain Grand Prix,20345.0,810.0,166.0,25,22.0,\N,R,23.0,0.0,2.0,\N,\N,2,23,2:09.361,9.0
337,2010,1,3,Bahrain Grand Prix,20346.0,812.0,164.0,20,24.0,\N,R,24.0,0.0,1.0,\N,\N,\N,\N,\N,3.0
338,2010,2,1,Australian Grand Prix,20347.0,18.0,1.0,1,4.0,1,1,1.0,25.0,58.0,1:33:36.531,5616531,52,6,1:29.291,1.0
338,2010,2,1,Australian Grand Prix,20348.0,9.0,4.0,11,9.0,2,2,2.0,18.0,58.0,+12.034,5628565,52,8,1:29.570,1.0
338,2010,2,1,Australian Grand Prix,20349.0,13.0,6.0,7,5.0,3,3,3.0,15.0,58.0,+14.488,5631019,52,7,1:29.537,1.0
338,2010,2,1,Australian Grand Prix,20350.0,4.0,6.0,8,3.0,4,4,4.0,12.0,58.0,+16.304,5632835,47,10,1:29.707,1.0
338,2010,2,1,Australian Grand Prix,20351.0,3.0,131.0,4,6.0,5,5,5.0,10.0,58.0,+16.683,5633214,53,2,1:28.489,1.0
338,2010,2,1,Australian Grand Prix,20352.0,1.0,1.0,2,11.0,6,6,6.0,8.0,58.0,+29.898,5646429,47,3,1:28.506,1.0
338,2010,2,1,Australian Grand Prix,20353.0,24.0,10.0,15,13.0,7,7,7.0,6.0,58.0,+59.847,5676378,55,9,1:29.685,1.0
338,2010,2,1,Australian Grand Prix,20354.0,22.0,3.0,9,8.0,8,8,8.0,4.0,58.0,+1:00.536,5677067,58,5,1:29.210,1.0
338,2010,2,1,Australian Grand Prix,20355.0,17.0,9.0,6,2.0,9,9,9.0,2.0,58.0,+1:07.319,5683850,47,1,1:28.358,1.0
338,2010,2,1,Australian Grand Prix,20356.0,30.0,131.0,3,7.0,10,10,10.0,1.0,58.0,+1:09.391,5685922,58,4,1:29.185,1.0
338,2010,2,1,Australian Grand Prix,20357.0,153.0,5.0,17,17.0,11,11,11.0,0.0,58.0,+1:11.301,5687832,49,11,1:29.713,1.0
338,2010,2,1,Australian Grand Prix,20358.0,37.0,15.0,22,14.0,12,12,12.0,0.0,58.0,+1:14.084,5690615,54,12,1:30.587,1.0
338,2010,2,1,Australian Grand Prix,20359.0,5.0,205.0,19,19.0,13,13,13.0,0.0,56.0,\N,\N,52,14,1:33.638,12.0
338,2010,2,1,Australian Grand Prix,20360.0,812.0,164.0,20,22.0,14,14,14.0,0.0,53.0,\N,\N,48,16,1:35.045,15.0
338,2010,2,1,Australian Grand Prix,20361.0,10.0,166.0,24,23.0,\N,R,15.0,0.0,41.0,\N,\N,37,15,1:34.230,22.0
338,2010,2,1,Australian Grand Prix,20362.0,810.0,166.0,25,24.0,\N,R,16.0,0.0,26.0,\N,\N,17,17,1:36.607,9.0
338,2010,2,1,Australian Grand Prix,20363.0,20.0,9.0,5,1.0,\N,R,17.0,0.0,25.0,\N,\N,22,13,1:31.556,36.0
338,2010,2,1,Australian Grand Prix,20364.0,16.0,10.0,14,10.0,\N,R,18.0,0.0,9.0,\N,\N,6,19,1:43.223,5.0
338,2010,2,1,Australian Grand Prix,20365.0,808.0,4.0,12,18.0,\N,R,19.0,0.0,9.0,\N,\N,6,18,1:43.132,20.0
338,2010,2,1,Australian Grand Prix,20366.0,811.0,164.0,21,21.0,\N,R,20.0,0.0,4.0,\N,\N,4,20,2:27.276,9.0
338,2010,2,1,Australian Grand Prix,20367.0,67.0,5.0,16,12.0,\N,R,21.0,0.0,0.0,\N,\N,\N,\N,\N,4.0
338,2010,2,1,Australian Grand Prix,20368.0,807.0,3.0,10,15.0,\N,R,22.0,0.0,0.0,\N,\N,\N,\N,\N,4.0
338,2010,2,1,Australian Grand Prix,20369.0,155.0,15.0,23,16.0,\N,R,23.0,0.0,0.0,\N,\N,\N,\N,\N,4.0
338,2010,2,1,Australian Grand Prix,20370.0,15.0,205.0,18,20.0,\N,W,24.0,0.0,0.0,\N,\N,\N,\N,\N,9.0
339,2010,3,2,Malaysian Grand Prix,20371.0,20.0,9.0,5,3.0,1,1,1.0,25.0,56.0,1:33:48.412,5628412,53,6,1:37.813,1.0
339,2010,3,2,Malaysian Grand Prix,20372.0,17.0,9.0,6,1.0,2,2,2.0,18.0,56.0,+4.849,5633261,53,1,1:37.054,1.0
339,2010,3,2,Malaysian Grand Prix,20373.0,3.0,131.0,4,2.0,3,3,3.0,15.0,56.0,+13.504,5641916,53,8,1:38.129,1.0
339,2010,3,2,Malaysian Grand Prix,20374.0,9.0,4.0,11,6.0,4,4,4.0,12.0,56.0,+18.589,5647001,55,7,1:38.074,1.0
339,2010,3,2,Malaysian Grand Prix,20375.0,16.0,10.0,14,4.0,5,5,5.0,10.0,56.0,+21.059,5649471,55,9,1:38.160,1.0
339,2010,3,2,Malaysian Grand Prix,20376.0,1.0,1.0,2,20.0,6,6,6.0,8.0,56.0,+23.471,5651883,32,4,1:37.745,1.0
339,2010,3,2,Malaysian Grand Prix,20377.0,13.0,6.0,7,21.0,7,7,7.0,6.0,56.0,+27.068,5655480,48,5,1:37.784,1.0
339,2010,3,2,Malaysian Grand Prix,20378.0,18.0,1.0,1,17.0,8,8,8.0,4.0,56.0,+37.918,5666330,49,10,1:38.501,1.0
339,2010,3,2,Malaysian Grand Prix,20379.0,153.0,5.0,17,14.0,9,9,9.0,2.0,56.0,+1:10.602,5699014,44,13,1:39.489,1.0
339,2010,3,2,Malaysian Grand Prix,20380.0,807.0,3.0,10,5.0,10,10,10.0,1.0,56.0,+1:13.399,5701811,51,11,1:39.124,1.0
339,2010,3,2,Malaysian Grand Prix,20381.0,67.0,5.0,16,13.0,11,11,11.0,0.0,56.0,+1:18.938,5707350,54,3,1:37.610,1.0
339,2010,3,2,Malaysian Grand Prix,20382.0,22.0,3.0,9,7.0,12,12,12.0,0.0,55.0,\N,\N,46,12,1:39.428,11.0
339,2010,3,2,Malaysian Grand Prix,20383.0,4.0,6.0,8,19.0,13,13,13.0,0.0,54.0,\N,\N,41,2,1:37.231,5.0
339,2010,3,2,Malaysian Grand Prix,20384.0,810.0,166.0,25,24.0,14,14,14.0,0.0,53.0,\N,\N,28,18,1:43.224,13.0
339,2010,3,2,Malaysian Grand Prix,20385.0,812.0,164.0,20,22.0,15,15,15.0,0.0,53.0,\N,\N,40,21,1:44.790,13.0
339,2010,3,2,Malaysian Grand Prix,20386.0,811.0,164.0,21,23.0,16,16,16.0,0.0,52.0,\N,\N,39,22,1:45.334,14.0
339,2010,3,2,Malaysian Grand Prix,20387.0,15.0,205.0,18,18.0,17,17,17.0,0.0,51.0,\N,\N,31,20,1:43.753,15.0
339,2010,3,2,Malaysian Grand Prix,20388.0,5.0,205.0,19,15.0,\N,N,18.0,0.0,46.0,\N,\N,44,17,1:42.701,88.0
339,2010,3,2,Malaysian Grand Prix,20389.0,808.0,4.0,12,11.0,\N,R,19.0,0.0,32.0,\N,\N,32,14,1:40.693,6.0
339,2010,3,2,Malaysian Grand Prix,20390.0,24.0,10.0,15,10.0,\N,R,20.0,0.0,12.0,\N,\N,9,16,1:42.594,37.0
339,2010,3,2,Malaysian Grand Prix,20391.0,30.0,131.0,3,8.0,\N,R,21.0,0.0,9.0,\N,\N,9,15,1:42.084,36.0
339,2010,3,2,Malaysian Grand Prix,20392.0,155.0,15.0,23,9.0,\N,R,22.0,0.0,8.0,\N,\N,6,19,1:43.340,5.0
339,2010,3,2,Malaysian Grand Prix,20393.0,10.0,166.0,24,16.0,\N,R,23.0,0.0,2.0,\N,\N,2,23,1:46.388,20.0
339,2010,3,2,Malaysian Grand Prix,20394.0,37.0,15.0,22,12.0,\N,W,24.0,0.0,0.0,\N,\N,\N,\N,\N,5.0
